Number,Finnish,English,Examples
0765,lähtee,leave,"Saatamme lähteä.
We might go.

Aletaanpas lähteä.
Here we go.

Yritäkin lähteä.
Don't you dare leave.

Älkää lähtekö.
Don't leave.

Mistä lähtien?
Since when?

Rekka lähti.
The train left.

Jono lähti.
The train left.

Juna lähti.
The train left.

Tomi lähti.
Tom left.

Hän lähti.
I left."
0766,aikaisemmin,earlier,"Olen aikaisessa.
I'm early.

Nousin aikaisin.
I got up early.

Suljemme tänään aikaisin.
We're closing up early today.

Herään tosi aikaisin.
I wake up very early.

Herään hyvin aikaisin.
I wake up very early.

Herään todella aikaisin.
I wake up very early.

Mene aikaisin nukkumaan.
Go to sleep soon.

Huomenna nousen aikaisin.
I will get up early tomorrow.

Tomi herää aikaisin.
Tom wakes up early.

Kannattaisi herätä aikaisin.
You should get up early."
0767,mahdollista,possible,"Tule jos mahdollista.
Please come if you can.

Se on mahdollista.
It's a possibility.

Muutos on mahdollista.
Change is possible.

Kaikki on mahdollista.
Anything is possible.

Onko se mahdollista?
Is it possible?

Ei ole mitenkään mahdollista.
When pigs fly.

Ei ollut mahdollista opiskella.
It wasn't possible to study.

Se ei ollut mahdollista.
That wasn't possible.

Luulin sen olevan mahdollista.
I thought it was possible.

Kuinka tämä on mahdollista?
How is this possible?"
0768,onhan,after all,"Onnea.
Good luck.

Onnee!
Congratulations!

Onnea!
Congratulations!

Onko valmista?
Is it ready?

Etsimme onnea.
We seek happiness.

Onko ketsuppia?
Is there ketchup?

Onko värikyniä?
Do you have any colored pencils?

On koillistuuli.
The wind is blowing from the northeast.

On lounaistuuli.
The wind is blowing from the southwest.

Onpa tylsää.
That's lame."
0769,oik,right,[No examples found]
0770,nähnyt,perceivedly seen,"Saatamme lähteä.
We might go.

Aletaanpas lähteä.
Here we go.

Yritäkin lähteä.
Don't you dare leave.

Älkää lähtekö.
Don't leave.

Mistä lähtien?
Since when?

Rekka lähti.
The train left.

Jono lähti.
The train left.

Juna lähti.
The train left.

Tomi lähti.
Tom left.

Hän lähti.
I left."
0771,keväällä,in spring,"Kevät saapui.
Spring arrived.

Kevät tuli.
Spring arrived.

On kevät.
It's spring.

Pidän keväästä.
I like spring.

On melkein kevät.
It's almost spring.

Vihdoinkin tuli kevät.
Spring finally arrived.

Kohta on kevät.
It will be spring soon.

Kevät on suosikkivuodenaikani.
Spring is my favorite season.

Kevät on mielivuodenaikani.
Spring is my favorite season.

Missä viipyy kevät?
Where is spring?"
0772,joka oli,that was,"Minulla oli naapuri, joka oli sokea.
I had a neighbor who was blind.

En nähnyt ketään, joka olisi syönyt.
I didn't see anyone eating.

Tiedätkö ketään, joka olisi käynyt Bostonissa?
Do you know anyone who's gone to Boston?

En ollut ainoa joka oli myöhässä.
I wasn't the only one who was late.

Tomi oli ainoa, joka oli myöhässä.
Tom was the only one who was late.

Menin kauppaan joka oli tuossa ihan lähellä.
I went to the store that was very nearby.

Minä en nähnyt ketään, joka olisi syönyt.
I didn't see anyone eating.

Tom selaili läpi lehden, joka oli kahvipöydällä.
Tom leafed through the magazine that was on the coffee table.

Muistan lukeneeni koirasta, joka oli syönyt omistajansa.
I remember reading about a dog that had eaten its owner.

Matkalla kouluun tapasin ystäväni Karlon, joka oli kävelemässä.
On the way to school, I met my friend Karlo, who was walking."
0773,töitä,work,"Tein töitä.
I was working.

Etsin töitä.
I'm looking for a job.

Tee töitä!
Work!

Tehkää töitä!
Work!

Tehkää töitä.
Work.

Tee töitä.
Work.

Teettekö töitä?
Are you working?

Teetkö töitä?
Are you working?

Teen töitä.
I work.

Sain töitä.
I got a job."
0774,kokeilla,try out,"Kokeillaanpa.
Let's have a try.

Kokeillaan.
Let's try.

Reputin kokeissa.
I failed the tests.

Onnea kokeeseen.
Good luck with your test.

Kokeillaanpa jotakin.
Let's try something.

Kokeillaanpa jotain.
Let's try something.

Tsemppiä kokeeseen.
Good luck on your test.

Läpäisit kokeen.
You passed the test.

Kokeillaanpa jotakin!
Let's try something.

Akateemikot tekevät kokeita.
Academics experiment."
0775,suhteen,regarding,"He pitivät suhteensa salassa.
They kept their relationship a secret.

Suhteemme on kuin seikkailu.
Our relationship is like an adventure.

Suhteemme on täysin ammattimainen.
Our relationship is strictly professional.

Vanhemmat olivat optimistisia tulevaisuuden suhteen.
Parents were hopeful about the future.

Vanhemmat olivat toiveikkaita tulevaisuuden suhteen.
Parents were hopeful about the future.

Olen hyvin tarkka syömiseni suhteen.
I'm very particular about what I eat.

Suhteessa huomattava rahasumma suunnattiin maanpuolustukseen.
A considerable amount of money was appropriated for the national defense.

Ainekirjoituksesi on ihailtava tyylin suhteen.
Your essay is admirable in regard to style.

Ensiksi, onnellisuus on suhteessa rahaan.
Firstly, happiness is related to money.

Tässä suhteessa sinä olet oikeassa.
In this respect, you're right."
0776,aion,I will,"Aion syödä.
I will eat.

Aion yrittää.
I'm going to try.

Aion hakea stipendiä.
I am going to apply for a scholarship.

Aion heti erota.
I am thinking of resigning at once.

Aion yöpyä hotellissa.
I'm planning to stay at the hotel.

Aion kiivetä Fujille.
I'm going to climb Mt. Fuji.

Aion osallistua kokoukseen.
I'm going to attend the meeting.

Aion kosia häntä.
I'm going to propose to her.

Aion treenata enemmän.
I'm going to get more exercise.

Aion tehdä yhteistyötä.
I'm going to cooperate."
0777,on että,it is that,"Totuus on että valehtelin.
The truth is I told a lie.

Kysymys on, että kuinka pitkään.
The question is how long.

Ongelmana on, että kuinka kauan.
The question is how long.

Totuus on, että rakastan erästä toista.
The truth is that I love somebody else.

Totuus on, että haluan tulla kirjailijaksi.
The truth is that I want to become a writer.

Toiveeni on, että minusta tulee laulaja.
My wish is to be a singer.

Et sattuisi tietämään missä Tom on, ethän?
You don't happen to know where Tom is, do you?

Ilmassa on, että he voivat mennä naimisiin.
It's in the air that they may get married.

Tosiasia on että en mennyt kouluun tänään.
The fact is I didn't go to school today.

Ongelmani on, että minulla on liian kiire.
My problem is I'm too busy."
0778,pikku,little,"Pidetään pikku tauko.
Let's take a short break.

Sain uuden pikkutakin.
I was given a new jacket.

Näyttää olevan pikku kuumetta.
It looks like you've got a slight fever.

Onpa söpö pikku tyttö!
What a cute little girl!

Meillä on pikku ongelma.
We have a little problem.

Pikku keiju peseytyi aamukasteessa.
The little fairy washed itself in the morning dew.

Hän suuttuu helposti pikku jutuista.
He easily gets angry at trivial things.

Karma on ilkeä pikku paskiainen!
Karma is a nasty little bitch!

Pikku koiralla on oma tyynynsä.
The little dog had his own cushion.

Tontut ovat pukin pikku apulaisia.
Elves are Santa's little helpers."
0779,asuu,live,"Asun Turkissa.
I live in Turkey.

Asumme Unkarissa.
We dwell in Hungary.

Asun Moskovassa.
I live in Moscow.

Asumme Ukrainassa.
We live in Ukraine.

Asun Ukrainassa.
I live in Ukraine.

Asun Riossa.
I live in Rio.

Asun Maltalla.
I live in Malta.

Asun Intiassa.
I live in India.

Asun Norjassa.
I live in Norway.

Asumme Norjassa.
We live in Norway."
0780,minä en,I don't,"Minä en tajua.
I don't get it.

Minä en käsitä.
I don't get it.

Minä en varasta.
I don't get it.

Minä en nuku.
I'm not sleeping.

Minä en häviä!
I won't lose!

Minä en hymyillyt.
I didn't smile.

Minä en lue.
I don't read.

Pelkää minä en.
I'm afraid not.

Minä en laula.
I don't sing.

Minä en usko!
I don't believe!"
0781,tyytyväinen,pleased,"Olet tyytyväinen.
You're satisfied.

Olen tyytyväinen.
I'm satisfied.

Tuomo oli tyytyväinen.
Tom expressed satisfaction.

Oletko nyt tyytyväinen?
Are you satisfied now?

Olitko tyytyväinen tuloksiin?
Were you happy with the results?

Olitko tyytyväinen lopputulokseen?
Were you happy with the results?

Olin täysin tyytyväinen.
I was satisfied.

Oletko tyytyväinen lopputulokseen?
Are you satisfied with the result?

Tomi on tyytyväinen.
Tom is pleased.

Oletko siihen tyytyväinen?
Are you happy with that?"
0782,kerralla,at once,"Ensi kertaan.
Until next time.

Kerran vielä.
Once again.

Yksi kerrallaan.
One at a time.

Taas kerran.
Once again.

Ensi kertaan!
Talk to you later.

Uin kerran viikossa.
I swim once a week.

Asuin kerran Roomassa.
I once lived in Rome.

Asuin kerran Osakassa.
Once I lived in Osaka.

Epäonnistun joka kerta.
I always fail.

Tarkastakaa vielä kerran.
Check again."
0783,muuttaa,change,"Muutin lausetta.
I changed the sentence.

Muutin lipun.
I changed the flag.

Tomi muutti.
Tom moved.

Muutin Bostoniin.
I've moved to Boston.

Muutin vasta.
I just moved.

Minä muutin.
I was moved.

Muutin mieltäni.
I changed my mind.

Sami muutti Kairoon.
Sami moved to Cairo.

Päätin muuttaa imagoa.
I decided to change my image.

Voitte muuttaa lopputulosta.
You can change the outcome."
0784,lapsen,child,"Muutin lausetta.
I changed the sentence.

Muutin lipun.
I changed the flag.

Tomi muutti.
Tom moved.

Muutin Bostoniin.
I've moved to Boston.

Muutin vasta.
I just moved.

Minä muutin.
I was moved.

Muutin mieltäni.
I changed my mind.

Sami muutti Kairoon.
Sami moved to Cairo.

Päätin muuttaa imagoa.
I decided to change my image.

Voitte muuttaa lopputulosta.
You can change the outcome."
0785,aloin,I started,"Aloitamme.
Let's begin.

Aloitammeko?
Shall we begin?

Aloita.
Start.

Aloita!
Begin!

Aloita sessio.
Start a session.

Aloita pelikerta.
Start a session.

Aloita istunto.
Start a session.

Aloita perusteista.
Start from the basics.

Aloitammeko me?
Shall we begin?

Asettukaa aloillenne!
Settle down!"
0786,siskon,sister,"Tunnetko siskoni?
Do you know my sister?

Siskoni kihlautui.
My sister got engaged.

Kampitin siskoni.
I tripped my sister.

Kamppasin siskoni.
I tripped my sister.

Panin sun siskoa.
I fucked your sister.

He ovat siskojani.
They are my sisters.

Siskoni jalokivilipas varastettiin.
My sister's jewelry box was stolen.

Olisipa minulla sisko.
I wish I had a sister.

Siskoni ärsyttää minua.
My sister is bugging me.

Siskoni käy hermoilleni.
My sister is bugging me."
0787,lasten,junior,"Lasten leikkiä!
It's a piece of cake.

Antaa lasten leikkiä.
Let the children play.

On jo lasten nukkumaanmenoaika.
It's high time you children went to bed.

Hän leikki lastensa kanssa.
She played with her children.

Vanhus istui lasten ympäröimänä.
The old man sat surrounded by the children.

Lasten pitäisi leikkiä ulkona.
Children should play outside.

Tomi menetti lastensa huoltajuuden.
Tom lost custody of his children.

Olet hyvä lasten kanssa.
You're good with kids.

Kuului lasten iloisia ääniä.
I heard the gay voices of children.

Kuulin lasten iloiset äänet.
I heard the children's happy voices."
0788,eteen,in front of,"Ihoni on kuivunut.
I have dry skin.

Kastuin ihoa myöten.
I got wet to the skin.

Tomin iho on tumma.
Tom has dark skin.

Käsieni iho on kuiva.
My hands are chapped.

Vauvoilla on pehmeä iho.
Babies have delicate skin.

Vauvojen iho on pehmeä.
Babies have delicate skin.

Vauvoilla on herkkä iho.
Babies have delicate skin.

Hänen ihonsa palaa helposti.
Her skin burns easily.

Märät vaatteet liimautuvat ihoon.
Wet clothes adhere to the skin.

Minulla on kuiva iho.
I have dry skin."
0789,iho,skin,"Ihoni on kuivunut.
I have dry skin.

Kastuin ihoa myöten.
I got wet to the skin.

Tomin iho on tumma.
Tom has dark skin.

Käsieni iho on kuiva.
My hands are chapped.

Vauvoilla on pehmeä iho.
Babies have delicate skin.

Vauvojen iho on pehmeä.
Babies have delicate skin.

Vauvoilla on herkkä iho.
Babies have delicate skin.

Hänen ihonsa palaa helposti.
Her skin burns easily.

Märät vaatteet liimautuvat ihoon.
Wet clothes adhere to the skin.

Minulla on kuiva iho.
I have dry skin."
0790,museon,museum,"Koska museo suljetaan?
When does the museum close?

He ovat museossa.
They are at the museum.

Museo avataan aamuyhdeksältā.
The museum is open from 9 a.m.

Tänään menen museoon.
I'll go to a museum today.

Tänään käyn museossa.
I'll visit a museum today.

Museo on remontissa.
The museum is closed for renovations.

Minä menen museoon.
I'm going in the museum.

Tänään kävin museossa.
Today I visited a museum.

Monessako museossa kävit?
How many museums did you visit?

Kuka suunnitteli sen museon?
Who designed that museum?"
0791,välttämättä,necessarily,"Tarkoitus ei välttämättä oikeuta keinoja.
The end does not always justify the means.

Teidän on välttämättä tavattava tohtori.
It is necessary that you see a doctor.

Sinun on välttämättä tavattava tohtori.
It is necessary that you see a doctor.

Teidän on välttämättä käytävä lääkärissä.
It is necessary that you see a doctor.

Sinun on välttämättä käytävä lääkärissä.
It is necessary that you see a doctor.

Sisareni halusi välttämättä tulla mukaan.
My sister insisted on going with me.

Siskoni halusi välttämättä tulla mukaan.
My sister insisted on going with me.

Se ei välttämättä muuta mitään.
That doesn't necessarily change anything.

Säätiedotus ei ole välttämättä luotettava.
The weather forecast is not necessarily reliable.

Loppu ei välttämättä oikeuta keinoja.
The end does not necessarily justify the means."
0792,esiin,out,"Esitä voittanutta.
Pretend you've won.

Estä se!
Block it!

Esitä voittaneesi.
Pretend you've won.

Esitä asiasi lyhyesti.
Be brief.

Palautitko esseen ajallaan?
Did you hand in your essay on time?

Aurinko tuli esiin.
The sun came out.

Tähdet tulivat esiin.
The stars came out.

Älä esitä syytöntä.
Don't play innocent with me.

Esitämme ideamme toimikunnalle.
We will present our idea to the committee.

Jotakin tuli esiin.
Something came up."
0793,haluaisin,I would like,"Haluaisin tulla.
I'd like to come.

Haluaisitko vettä?
Would you like some water?

Haluaisin kirjeenvaihtokaverin.
I want a pen friend.

Haluaisin lisätietoja.
I would like some further details.

Haluaisin vastauksen.
I want an answer.

Haluaisin turistiviisumin.
I would like a tourist visa.

Haluaisitko sen?
Would you like to have it?

Haluaisitko koettaa?
Would you give it a try?

Haluaisitko yrittää?
Would you give it a try?

Haluaisitko jotakin?
Would you like anything?"
0794,jos on,If there is,"Jostakin on aloitettava.
You've got to start somewhere.

Lähden, jos on hyvä sää.
I will go, provided the weather is clear.

Haluaisin huoneen, jossa on ilmastointi.
I would like an air-conditioned room.

Jos on hyvä sää, menen.
I'll go if the weather's good.

Jos on kysymyksiä, niin olkaa hyvät.
If you have any questions, just ask.

Me etsimme taloa, jossa on autotalli.
We are looking for a house with a garage.

Haluan pienikokoisen auton, jossa on ilmastointi.
I want a compact car with an air conditioner.

Jos on hyvä keli, mennään eväsretkelle.
Weather permitting, let's go on a picnic.

Jos on valta, on myös oikeus.
Might makes right.

Haluamme keittiön jossa on runsaasti laskutilaa.
We would like a kitchen with plenty of storage area."
0795,kesä,summer,"Hyvää kesää.
Have a good summer.

Pidätkö kesästä?
Do you like summer?

Lorvin koko kesän.
I slacked off all summer.

Menen kesällä Bostoniin.
I'm going to Boston in the summer.

Säästäthän vettä kesällä.
Please conserve water during the summer.

Mä rakastan kesää.
I love summer.

Kesä on takanamme.
The summer is behind us.

Menen Ranskaan kesällä.
During the summer, I will go to France.

Minä rakastan kesää.
I really like summer.

Kesällä on kuuma.
It's hot in the summer."
0796,ylös,up,"Ylös!
Stand up!

Nousen ylös.
I'm going upstairs.

Kaikki ylös.
Get up, everybody.

Ylös siitä!
Stand up!

Nouskaa ylös!
Get up!

Kädet ylös!
Hands up!

Nouskaa ylös.
Stand up!

Nouse ylös.
Stand up!

Ylös sängystä!
Get up!

Mennään ylös.
Let's go up."
0797,upea,magnificent,"Upea!
Fantastic!

Upeeta!
Terrific!

Upea idea!
That's a lovely idea.

Olit upea!
You were great.

Tytöt, olette upeita!
Girls, you're gorgeous!

Hän on upea.
She's awesome.

Onpa upea iltarusko.
What a beautiful sunset.

Onpa upea ajatus!
That's a lovely idea.

Hän oli upea!
He was great.

Talosi on upea.
Your house is fantastic."
0798,jäädä,stay,"Jäädään tässä.
Let's get off here.

Haluatko jäädä?
Do you wish to stay?

Voisitpa jäädä.
I wish you could stay.

Voitko jäädä?
Can you stay?

Voinko jäädä?
Can I stay?

Voin jäädä.
I can stay.

Päätin jäädä tänne.
I've decided to stay here.

Päätin jäädä tähän.
I've decided to stay here.

Päätin jäädä yöksi.
I've decided to stay.

Jäädään tänne yöksi.
Let's stay here tonight."
0799,eikö,not,"Eikö?
No?

Eikö vaan?
Right?

Eikö niin?
Isn't that so?

Säälittävää, eikö?
It's pathetic, isn't it?

Eikö olekin söpö.
That's cute!

Eikö ookin siistii!
It's amazing.

Eikö olekin nätti?
It's pretty, isn't it?

Eikö olekin söpö?
It's pretty, isn't it?

Eikö se suju?
Doesn't it work?

Eikö hommat suju?
Doesn't it work?"
0800,ainoastaan,only,"Ainoastaan Tom lähti.
Nobody but Tom left.

Ainoastaan Jumala tietää.
Only God knows.

Ottakaa ainoastaan yksi.
Take one only.

Ota ainoastaan yksi.
Take one only.

Söin ainoastaan banaaneita.
I ate only bananas.

Ainoastaan Tomi vahingoittui.
Tom was the only one who got hurt.

Puhuin ainoastaan saksaa.
I was speaking only German.

Puhun ainoastaan ranskaa.
I only speak French.

Hän hautasi ainoan poikansa.
She buried her only son.

Sinun pitää ainoastaan puhua.
All you have to do is talk."
0801,kestää,take,"Me kestimme.
We endured.

Tässä kestää.
This will take time.

Kestääkö jää?
Will the ice bear?

Rakkaus kestää.
Love lasts.

Kauanko kestää stadionille?
How long does it take to get to the stadium?

Kauankohan fritsu kestää?
How long does a hickey last?

Sadesäätä kesti viikon.
The rain lasted a week.

Sadesää kesti viikon.
The rain lasted a week.

Kauanko siinä kestää?
How long will it take?

Pitkäänkö siinä kestää?
How long will it take?"
0802,esillä,at issue,"Esitä voittanutta.
Pretend you've won.

Estä se!
Block it!

Esitä voittaneesi.
Pretend you've won.

Esitä asiasi lyhyesti.
Be brief.

Palautitko esseen ajallaan?
Did you hand in your essay on time?

Aurinko tuli esiin.
The sun came out.

Tähdet tulivat esiin.
The stars came out.

Älä esitä syytöntä.
Don't play innocent with me.

Esitämme ideamme toimikunnalle.
We will present our idea to the committee.

Jotakin tuli esiin.
Something came up."
0803,tavallista,ordinary,"Esitä voittanutta.
Pretend you've won.

Estä se!
Block it!

Esitä voittaneesi.
Pretend you've won.

Esitä asiasi lyhyesti.
Be brief.

Palautitko esseen ajallaan?
Did you hand in your essay on time?

Aurinko tuli esiin.
The sun came out.

Tähdet tulivat esiin.
The stars came out.

Älä esitä syytöntä.
Don't play innocent with me.

Esitämme ideamme toimikunnalle.
We will present our idea to the committee.

Jotakin tuli esiin.
Something came up."
0804,että jos,that if,"Saat valita.
I'll let you choose.

Älä valita!
Don't complain!

Valta korruptoi.
Power brings corruption.

Älä valita.
Don't complain.

Taivaan vallat!
Good heavens!

En valita.
I'm not complaining.

Valitamme naapureistamme.
We complain about our neighbors.

Valitamme aina.
We're always complaining.

Vallitsi tuontiöljypula.
There was a shortage of imported oil.

Ahneus valtasi minut.
I was overtaken by greed."
0805,valita,choose,"Saat valita.
I'll let you choose.

Älä valita!
Don't complain!

Valta korruptoi.
Power brings corruption.

Älä valita.
Don't complain.

Taivaan vallat!
Good heavens!

En valita.
I'm not complaining.

Valitamme naapureistamme.
We complain about our neighbors.

Valitamme aina.
We're always complaining.

Vallitsi tuontiöljypula.
There was a shortage of imported oil.

Ahneus valtasi minut.
I was overtaken by greed."
0806,tahansa,any,"Koska tahansa.
Any time.

Milloin tahansa.
Any time.

Kysykää keneltä tahansa.
Ask anyone.

Kysy keneltä tahansa.
Ask anyone.

Teetkö sen tahallasi?
Are you doing that on purpose?

Teetkö tuon tahallasi?
Are you doing that on purpose?

Tule milloin tahansa.
Come and see me whenever you want to.

Mikä tahansa auttaa.
Anything will help.

Tuon teit tahallasi!
You did this intentionally!

Kysy mitä tahansa haluat.
Ask whatever you like."
0807,ensimmäistä,first,"Ensimmäistä kertaa?
First time?

Yritän mahjongia ensimmäistä kertaa.
I'm trying mah-jong for the first time.

Oletko ulkomailla ensimmäistä kertaa?
Is this your first trip abroad?

Pese ennen ensimmäistä käyttöä.
Wash before first wearing.

Oletko ensimmäistä kertaa Japanissa?
Is this your first visit to Japan?

Luen raamattua ensimmäistä kertaa.
I'm reading the Bible for the first time.

Synnyin kahdeskymmenes toinen ensimmäistä 1993.
I was born on the 22nd day of January in the year 1993.

Tapasin hänet eilen ensimmäistä kertaa.
I met him yesterday for the first time.

Hatsumoode tarkoittaa ensimmäistä pyhätössä käyntiä.
This is called hatsumode, the first visit to a shrine.

Oletko ulkomaan matkalla ensimmäistä kertaa?
Is this your first trip abroad?"
0808,itsekin,another,"Laulan itsekseni.
I'll sing by myself.

Tanssin itsekseni.
I was dancing by myself.

Petät itseäsi.
You are deceiving yourself.

Tee itse!
Do it yourself.

Häpeän itseäni.
I am ashamed of myself.

Katsokaa itse!
See for yourself.

Katso itse!
See for yourself.

Ajatelkaa itse.
Think for yourself.

Ajattele itse.
Think for yourself.

Kiitos itsellenne!
Never mind!"
0809,oikea,right,"Eikö?
No?

Eikö vaan?
Right?

Eikö niin?
Isn't that so?

Säälittävää, eikö?
It's pathetic, isn't it?

Eikö olekin söpö.
That's cute!

Eikö ookin siistii!
It's amazing.

Eikö olekin nätti?
It's pretty, isn't it?

Eikö olekin söpö?
It's pretty, isn't it?

Eikö se suju?
Doesn't it work?

Eikö hommat suju?
Doesn't it work?"
0810,vuoteen,in the year,"Petaa vuoteesi.
Make your bed.

Sijaa vuoteesi.
Please make your bed.

Poika putosi vuoteesta.
The boy fell off the bed.

Vihaan vuoteen sijaamista.
I hate to make the bed.

Älä piiloudu vuoteen alle.
Don't hide under the bed.

Vuoteen alla on jotakin.
There's something under the bed.

Sairas lapsi istui vuoteessa.
The sick child sat up in bed.

Huomasin vuoteen hyvin mukavaksi.
I found the bed very comfortable.

Jäin vuoteeseen pienessä kuumeessa.
Having a slight fever, I stayed in bed.

Älä kätkeydy vuoteen alle.
Don't hide under the bed."
0811,murun,murmur,[No examples found]
0812,saisi,should,"Saisimmeko laskut erikseen?
We'd like separate checks.

En saisi nauraa.
I shouldn't be laughing.

Saisit hävetä, Tomi.
Shame on you, Tom.

Mitä saisi olla?
What can I get for you?

Saisiko olla jotain juotavaa?
Would you like something to drink?

Enkö saisi vähän apua?
Is there any help available?

Koulussa ei saisi polttaa.
You are not supposed to smoke at school.

Saisit potkut, jos tekisit niin.
You'd be fired if you did that.

Et saisi työnteon lomassa polttaa.
You shouldn't smoke whilst you work.

Luulin, että Tom saisi kenkää.
I thought Tom would get fired."
0813,minuuttia,minutes,"Odotatko minuutin?
Will you wait a minute?

Myöhästyin junasta minuutin.
I missed the train by a minute.

Odotin kymmenen minuuttia.
I waited for ten minutes.

Odottakaa viisi minuuttia.
Please wait for five minutes.

Odota viisi minuuttia.
Please wait for five minutes.

Tarvitsen muutaman minuutin.
I'll need a few minutes.

Olemme siellä minuutissa.
We'll be there in a minute.

Emme voi menettää minuuttiakaan.
We can ill afford to lose a minute.

Se vie useita minuutteja.
It's going to take a few minutes.

Siinä menee muutama minuutti.
It's going to take a few minutes."
0814,kannata,booze,"Pysy kanssani.
Abide with me.

Minä kanssa!
Me too!

Tulkaa kanssani!
Come with me.

Tule kanssani!
Come with me.

Lounastatteko kanssani?
Do you want to eat lunch together?

Minä kanssa.
So do I.

Kannan riisipussia.
I carry a bag of rice.

Olisitpa kanssani.
I wish you were with me.

Olisinpa kanssasi.
I wish I was with you.

Naulan kantaan.
You guessed right."
0815,jättää,leave,"Jätin avaimen postilaatikkoosi.
I left the key in your mailbox.

Mihinköhän jätin lukulasini?
Where are my reading glasses?

Jätin aamiaisen väliin.
I skipped breakfast.

Jätin luottokortin kotiin.
I've left my credit card at home.

Jätin sen pöydälle.
I left it on the table.

Hän jätti itsemurhaviestin.
He left a suicide note.

Jätin sen auki.
I left it unlocked.

Jätin sen lukitsematta.
I left it unlocked.

Jätin sateenvarjon junaan.
I left my umbrella on the train.

Tomi jätti minut.
Tom left me."
0816,äidin,maternal,"Kysy äidiltä!
Ask mom!

Kuulostat äidiltäsi.
You sound like your mother.

Pidätkö äidistäsi?
Do you love your mother?

Älä kerro äidille.
Don't tell Mom.

Äidillä on kuumetta.
Mom has a fever.

Äidilläni on kaksonen.
My mother has a twin.

Sinä kuulostat äidiltäni.
You sound like my mother.

Etsin äidilleni lahjaa.
I am looking for a present for my mother.

Etsin lahjaa äidilleni.
I am looking for a present for my mother.

Vauva näyttää äidiltään.
The baby looks like his mother."
0817,valmis,ready,"Valmis.
Done.

Valmis?
Done?

Valmis!
Ready!

Ole valmis!
Be prepared.

Oletko valmis?
Are you ready?

Olenko valmis?
Am I ready?

Olen valmis.
I am ready.

Olen lähes valmis.
I'm almost done.

Olen nyt valmis.
I'm ready now.

Onko se valmis?
Is it done?"
0818,kesken,between,"Keskitä.
Focus.

Seurusteletteko keskenänne?
Are you two dating each other?

Leikitään keskenämme.
Let's play by ourselves.

Torkahdin kesken tunnin.
I dozed off in class.

Prosessi on kesken.
The process is ongoing.

He seurustelevat keskenään.
They're a couple.

He puhuivat keskenään.
They talked to each other.

He juttelivat keskenään.
They talked to each other.

Olemme vihdoinkin keskenämme.
We're finally alone.

Vaihdoimme keskenämme puhelinnumeroita.
We exchanged phone numbers."
0819,toisella,in the other,"Tunnemmeko toisemme?
Do we know each other?

Ne tunnistivat toisensa.
They recognized each other.

He tunnistivat toisensa.
They recognized each other.

Tunnemmeko me toisemme?
Do we know each other?

Saat toisen keksin.
You may have another cookie.

Haluaisitteko toisen teekupillisen?
Would you like another cup of tea?

Haluaisitko toisen teekupillisen?
Would you like another cup of tea?

Olen rakastunut toiseen.
I'm in love with someone else.

Tomi tuli toiseksi.
Tom was second.

Tossua toisen eteen.
Get a move on."
0820,sanoi että,said,"Sanoit, että auttaisit.
You said you'd help.

Sinähän sanoit ettet juo.
You said you didn't drink.

Sanoit, että auttaisit häntä.
You said you'd help her.

Sinä sanoit, että paranisin.
You said I'd get better.

Sinä sanoit, että soittaisit.
You said you'd call.

Sihteerini sanoi, että olit soittanur.
My secretary told me you phoned.

Tomi sanoi, että häntä pelotti.
Tom said he was scared.

Maaria sanoi, että hän valittaisi.
Mary said that she would appeal.

Tomi sanoi että hänet erotettiin.
Tom says that he was fired.

Tommi sanoi, että 0! = 1.
Tom said that zero factorial (0!) is defined to equal 1."
0821,joka ei,who does not,"Luotin johonkuhun, joka ei ansainnut luottamustani.
I trusted someone who didn't deserve my trust.

Tom on ainoa, joka ei istu.
Tom is the only one not sitting.

Tunnetko ketään, joka ei olisi Facebookissa?
Do you know anyone who's not on Facebook?

Olin ainoa, joka ei mennyt ansaan.
I was the only one who didn't fall into the trap.

Tapa hallitsee laumaa, joka ei mieti tapojansa.
Habit rules the unreflecting herd.

Olen täällä ainoa, joka ei puhu ranskaa.
I'm the only one here that doesn't know French.

Minä luotin johonkuhun, joka ei ansainnut luottamustani.
I trusted someone who didn't deserve my trust.

Valitse lause, joka ei ole kieliopillisesti oikein.
Choose the grammatically incorrect sentence.

Onks joku, joka ei pääse tulee huomen?
Is there anyone who can't come tomorrow?

Se ei syö, joka ei tee töitä.
He who does not work, does not have the right to eat."
0822,kaikkien,all,"Tarkkailen kaikkea.
I'm monitoring everything.

Valvon kaikkea.
I'm monitoring everything.

Kaikki hyvin!
Nothing is wrong at all!

Kaikki hyvin?
You all right?

Kaikki lauloivat.
Everybody sang.

Moikka kaikki!
Hi, everybody!

Kaikki pierevät.
Everyone farts.

Kaikki rauhoittuivat.
Everybody calmed down.

Kaikki helpottuivat.
Everyone's relieved.

Moi kaikille!
Hello everyone!"
0823,luin,read,"Luin sen.
I've read it.

Luin twiittisi.
I read your tweet.

Luin kaiken.
I read everything.

Luin väärin.
I misread.

Luin kirjaa.
I was reading a book.

Luin artikkelin.
I read the article.

Luin kirjan.
I read the book.

Luin raporttisi.
I read your report.

Luin kirjeen.
I read a letter.

Luin sen päivässä.
I read the whole book in a day."
